raw_district,raw_state,canonical_district,match_score,censuscode,needs_review
Ramanathapuram ��������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������������� Paramakudi,Tamil Nadu,Ramanathapuram,9.9,626.0,YES
RI-Bhoi (Nongpoh),Meghalaya,Ri Bhoi,100.0,297.0,NO
South west District,Delhi,New Delhi,100.0,94.0,NO
Karbi-Anglong (DIPHU),Assam,Karbi Anglong,100.0,314.0,NO
Karbi-Anglong (Diphu),Assam,Karbi Anglong,100.0,314.0,NO
South District,Delhi,New Delhi,100.0,94.0,NO
Jogulamba Gadwal,Telangana,UNMAPPED:Mahabubnagar,99.0,561.0,DISCARD
Seraikela- Kharsawan (West Singhbhum),Jharkhand,Saraikela-Kharsawan,100.0,369.0,NO
Hooghly,West Bengal,Hugli,100.0,338.0,NO
Devbhoomi Dwarka,Gujarat,Jamnagar,100.0,477.0,NO
Tuticorin,Tamil Nadu,Thoothukkudi,100.0,627.0,NO
Kavaratti Island,Lakshadweep,Lakshadweep,100.0,587.0,NO
Villupuram - Kallakurichi,Tamil Nadu,Viluppuram,100.0,607.0,NO
Devbhumi Dwarka,Gujarat,Jamnagar,100.0,477.0,NO
West Midnapore,West Bengal,Pashchim Medinipur,100.0,344.0,NO
Samba(Jammu and Kashmir),Jammu and Kashmir,Samba,100.0,22.0,NO
Villupuram- Kallakurichi,Tamil Nadu,Viluppuram,100.0,607.0,NO
Saraikela Kharsawan,Jharkhand,Saraikela-Kharsawan,100.0,369.0,NO
Gangtok,Sikkim,UNMAPPED:East Sikkim,99.0,313.0,DISCARD
Seppa Town,Arunachal Pradesh,East Kameng,100.0,247.0,NO
Nagercoil,Tamil Nadu,UNMAPPED:Kanyakumari,99.0,155.0,DISCARD
Minicoy,Lakshadweep,Lakshadweep,100.0,587.0,NO
Darrang (Mangaldoi),Assam,Darrang,100.0,325.0,NO
Villupuram  Kallakurichi,Tamil Nadu,Viluppuram,100.0,607.0,NO
Udhagamandalam,Tamil Nadu,The Nilgiris,100.0,611.0,NO
South Sikkim,Sikkim,UNMAPPED:South Sikkim,99.0,542.0,DISCARD
West Sikkim,Sikkim,UNMAPPED:West Sikkim,99.0,542.0,DISCARD
North Sikkim,Sikkim,UNMAPPED:North Sikkim,99.0,542.0,DISCARD
Jammu and Kashmir,Jammu and Kashmir,Jammu,100.0,21.0,NO
Balodabazar,Chhattisgarh,Raipur,100.0,410.0,NO
East Sikkim,Sikkim,UNMAPPED:East Sikkim,99.0,542.0,DISCARD
RAJANNA SIRCILLA,Telangana,Karimnagar,100.0,534.0,NO
Rajanna Sircilla,Telangana,Karimnagar,100.0,534.0,NO
Wayanad (Kalpetta),Kerala,Wayanad,100.0,590.0,NO
Osmanabad (Maharashtra),Maharashtra,Osmanabad,100.0,525.0,NO
Beed,Maharashtra,Bid,100.0,523.0,NO
Panchsheel Nagar,Uttar Pradesh,Ghaziabad,100.0,140.0,NO
Kra Daadi,Arunachal Pradesh,Upper Subansiri,100.0,249.0,NO
Kallakurichi,Tamil Nadu,Viluppuram,100.0,607.0,NO
Kalaburgi (Gulbarga),Karnataka,Gulbarga,57.1,579.0,YES
Dhalai District,Tripura,Dhalai,100.0,291.0,NO
Nagaur (Rajasthan),Rajasthan,Nagaur,100.0,112.0,NO
Shi-Yomi,Arunachal Pradesh,West Siang,100.0,250.0,NO
Trichy,Tamil Nadu,Tiruchirappalli,100.0,614.0,NO
Gomati,Tripura,South Tripura,100.0,290.0,NO
Sri Muktsar Sahib,Punjab,Muktsar,100.0,44.0,NO
S.A.S Nagar,Punjab,Sahibzada Ajit Singh Nagar,100.0,52.0,NO
Cuddapah,Andhra Pradesh,UNMAPPED:Cuddapah,99.0,617.0,DISCARD
Tengnoupal,Manipur,Chandel,100.0,280.0,NO
Tapi (Surat),Gujarat,Tapi,100.0,493.0,NO
Sahibzada Ajit Singh Nagar,Punjab,Sahibzada Ajit Singh Nagar,100.0,52.0,NO
Agar Malwa,Madhya Pradesh,Shajapur,100.0,436.0,NO
Midnapore,West Bengal,Pashchim Medinipur,100.0,344.0,NO
Uttar Pradesh,Uttar Pradesh,DISCARD,0.0,,DISCARD
Pratap Nagar,Uttarakhand,Tehri Garhwal,100.0,59.0,NO
Tirunelveli- Sankarankovil,Tamil Nadu,Tirunelveli,100.0,628.0,NO
Gir Somnath,Gujarat,Junagadh,100.0,479.0,NO
Wanaparthy,Telangana,UNMAPPED:Mahabubnagar,99.0,131.0,DISCARD
Sukma,Chhattisgarh,Dakshin Bastar Dantewada,100.0,416.0,NO
Leh,Jammu and Kashmir,Leh (ladakh),100.0,3.0,NO
Trivandrum,Kerala,Thiruvananthapuram,100.0,601.0,NO
BBMP,Karnataka,Bangalore,100.0,572.0,NO
Yamuna Nagar,Haryana,Yamunanagar,100.0,71.0,NO
Morbi,Gujarat,Rajkot,100.0,476.0,NO
Nuh,Haryana,Mewat,100.0,87.0,NO
Cannanore (Kannur),Kerala,Kannur,100.0,589.0,NO
Kutch,Gujarat,Kachchh,100.0,468.0,NO
Bengaluru Urban,Karnataka,Bangalore,100.0,572.0,NO
Boudh,Odisha,Bauda,100.0,391.0,NO
Sabarkantha,Gujarat,Banas Kantha,100.0,469.0,NO
Karbi-Anglong,Assam,Karbi Anglong,100.0,314.0,NO
Tirunelveli Sankarankovil,Tamil Nadu,Tirunelveli,100.0,628.0,NO
Nimach,Madhya Pradesh,Neemuch,100.0,432.0,NO
Tehri,Uttarakhand,Tehri Garhwal,100.0,59.0,NO
Udalguri (Darrang),Assam,Udalguri,100.0,326.0,NO
Khowai,Tripura,West Tripura,100.0,289.0,NO
Balod,Chhattisgarh,Durg,100.0,409.0,NO
Saidapet,Tamil Nadu,Chennai,100.0,603.0,NO
"Darjeeling, Jalpaiguri",West Bengal,Darjiling,100.0,327.0,NO
Nayabasti,West Bengal,DISCARD,0.0,,DISCARD
Khargone,Madhya Pradesh,West Nimar,100.0,440.0,NO
Kavaratti,Lakshadweep,Lakshadweep,100.0,587.0,NO
Sepahijala,Tripura,West Tripura,100.0,289.0,NO
Panchmahal,Gujarat,Panch Mahals,100.0,484.0,NO
Mumbai (city),Maharashtra,Mumbai,100.0,519.0,NO
Kalaburagi,Karnataka,Gulbarga,100.0,579.0,NO
Janjgir Champa,Chhattisgarh,Janjgir-Champa,100.0,405.0,NO
Vellore-Ranipet,Tamil Nadu,Vellore,100.0,605.0,NO
Dindigul - Palani,Tamil Nadu,Dindigul,100.0,612.0,NO
Sonitpur (Tezpur),Assam,Sonitpur,100.0,306.0,NO
East Imphal West Imphal,Manipur,Imphal East,100.0,278.0,NO
Coimbatore (Tiruppur),Tamil Nadu,Coimbatore,100.0,632.0,NO
Ariyalur (Perambalur),Tamil Nadu,Ariyalur,100.0,616.0,NO
Virudhunagar (Sivakasi),Tamil Nadu,Virudunagar,100.0,625.0,NO
Virudhunagar - Sivakasi,Tamil Nadu,Virudunagar,100.0,625.0,NO
Sant Ravidas Nagar,Uttar Pradesh,Sant Ravi Das Nagar(Bhadohi),100.0,198.0,NO
Nawanshahr,Punjab,Shahid Bhagat Singh Nagar,100.0,39.0,NO
Midnapore West,West Bengal,Pashchim Medinipur,100.0,344.0,NO
Virudhunagar- Sivakasi,Tamil Nadu,Virudunagar,100.0,625.0,NO
Jhargram,West Bengal,Pashchim Medinipur,100.0,344.0,NO
Sheopur- Kalan,Madhya Pradesh,Sheopur,100.0,418.0,NO
Khandwa,Madhya Pradesh,East Nimar,100.0,466.0,NO
Amethi,Uttar Pradesh,Sultanpur,100.0,179.0,NO
Singtam,Sikkim,UNMAPPED:East Sikkim,99.0,10.0,DISCARD
Unakoti,Tripura,North Tripura,100.0,292.0,NO
Midnapore East,West Bengal,Purba Medinipur,100.0,345.0,NO
Kadapa,Andhra Pradesh,UNMAPPED:Cuddapah,99.0,390.0,DISCARD
Kalaburgi,Karnataka,Gulbarga,100.0,579.0,NO
Belagavi,Karnataka,Belgaum,100.0,555.0,NO
Medchal,Telangana,UNMAPPED:Ranga Reddy,99.0,535.0,DISCARD
Kanker,Chhattisgarh,Uttar Bastar Kanker,100.0,413.0,NO
Janjgir,Chhattisgarh,Janjgir-Champa,100.0,405.0,NO
Bemetara,Chhattisgarh,Durg,100.0,409.0,NO
SBS Nagar,Punjab,Shahid Bhagat Singh Nagar,100.0,39.0,NO
Dahod,Gujarat,UNMAPPED:Panchmahals,99.0,16.0,DISCARD
Gurugram,Haryana,Gurgaon,100.0,86.0,NO
Raebareli,Uttar Pradesh,Rae Bareli,100.0,158.0,NO
Palghar,Maharashtra,Thane,100.0,517.0,NO
Basirhat,West Bengal,North 24 Parganas,100.0,337.0,NO
Agartala,Tripura,West Tripura,100.0,289.0,NO
Bengaluru,Karnataka,Bangalore,100.0,572.0,NO
Tenkasi,Tamil Nadu,Tirunelveli,100.0,628.0,NO
Mysuru,Karnataka,Mysore,100.0,577.0,NO
Kotputli,Rajasthan,Jaipur,100.0,110.0,NO
Mohali,Punjab,Sahibzada Ajit Singh Nagar,100.0,52.0,NO
Tenkasi (Tirunelveli),Tamil Nadu,Tirunelveli,100.0,628.0,NO
Virudhunagar Sivakasi,Tamil Nadu,Virudunagar,100.0,625.0,NO
Puducherry & Karaikal,Puducherry,UNMAPPED:Pondicherry,99.0,635.0,DISCARD
West Singhbhum,Jharkhand,Pashchimi Singhbhum,100.0,368.0,NO
Medinipur West,West Bengal,Pashchim Medinipur,100.0,344.0,NO
Chhota Udepur,Gujarat,Chota Udaipur,99.0,425.0,CENSUS_NOT_FOUND
Dindigul-Palani,Tamil Nadu,Dindigul,100.0,612.0,NO
Chota Udaipur,Gujarat,Udaipur,70.0,130.0,NO
Ramanathapuram- Paramakudi,Tamil Nadu,Ramanathapuram,70.0,626.0,NO
Sheopur-Kalan,Madhya Pradesh,Sheopur,70.0,418.0,NO
Andaman,Andaman and Nicobar Islands,South Andaman,70.0,640.0,NO
Central Delhi,Delhi,Central,70.0,95.0,NO
Bara-Banki,Uttar Pradesh,Barwani,70.6,441.0,NO
Vijayapura,Karnataka,Bijapur,70.6,557.0,NO
Balrampur,Chhattisgarh,Bilaspur,70.6,406.0,NO
Aizawl West,Mizoram,Aizawl,70.6,283.0,NO
Balasore,Odisha,Bangalore,70.6,572.0,NO
Aizawl East,Mizoram,Aizawl,70.6,283.0,NO
Kawardha,Chhattisgarh,Nawada,71.4,237.0,NO
Daman and Diu,Daman and Diu,Daman,71.4,495.0,NO
Nawapara,Odisha,Nawada,71.4,237.0,NO
North Goa,Goa,North Goa,71.4,585.0,NO
Diu Daman,Daman and Diu,Daman,71.4,495.0,NO
Kalburgi,Karnataka,Kargil,71.4,4.0,NO
South Goa,Goa,South Goa,71.4,586.0,NO
Ballari,Karnataka,Bellary,71.4,565.0,NO
Ramanathapuram Paramakudi,Tamil Nadu,Ramanathapuram,71.8,626.0,NO
Ramanathapuram-Paramakudi,Tamil Nadu,Ramanathapuram,71.8,626.0,NO
Midnapur West,West Bengal,West Tripura,72.0,289.0,NO
Howrah,West Bengal,Haora,72.7,341.0,NO
Mahabubabad,Telangana,Mahbubnagar,72.7,538.0,NO
Warangal Urban,Telangana,Warangal,72.7,540.0,NO
Poonch,Jammu and Kashmir,Punch,72.7,5.0,NO
Purba Bardhaman,West Bengal,Purba Champaran,73.3,204.0,NO
Gariyaband,Chhattisgarh,Faridabad,73.7,88.0,NO
Kondagaon,Chhattisgarh,Bongaigaon,73.7,319.0,NO
Kamareddy,Telangana,Rangareddy,73.7,537.0,NO
South Parganas,West Bengal,South 24 Parganas,74.1,343.0,NO
West Delhi,Delhi,New Delhi,75.0,94.0,NO
Vijayapur,Karnataka,Bijapur,75.0,557.0,NO
Lakhimpur Kheri,Uttar Pradesh,Lakhimpur,75.0,307.0,NO
Medinipur,West Bengal,Purba Medinipur,75.0,345.0,NO
Lakhimpur kheri,Uttar Pradesh,Lakhimpur,75.0,307.0,NO
Aravalli,Gujarat,Amravati,75.0,503.0,NO
South Delhi,Delhi,New Delhi,75.0,94.0,NO
Bhubaneshwar,Odisha,Baleshwar,76.2,377.0,NO
Godavari,Andhra Pradesh,East Godavari,76.2,545.0,NO
Pondicherry,Puducherry,Puducherry,76.2,635.0,NO
East Singhbhum,Jharkhand,Purbi Singhbhum,76.9,357.0,NO
Raigad,Maharashtra,Raigarh,76.9,520.0,NO
Burdwan,West Bengal,Budaun,76.9,149.0,NO
East Champaran,Bihar,Purba Champaran,76.9,204.0,NO
Narnaul,Haryana,Karnal,76.9,74.0,NO
Kanpur,Uttar Pradesh,Jaunpur,76.9,194.0,NO
Khurda,Odisha,Khordha,76.9,386.0,NO
Nandyal,Andhra Pradesh,Mandya,76.9,573.0,NO
West Medinipur,West Bengal,Purba Medinipur,76.9,345.0,NO
Suryapet,Telangana,Surat,76.9,492.0,NO
Shamli,Uttar Pradesh,Chamoli,76.9,57.0,NO
Pauri Garhwal,Uttarakhand,Tehri Garhwal,76.9,59.0,NO
West Champaran,Bihar,Purba Champaran,76.9,204.0,NO
Mungeli,Chhattisgarh,Munger,76.9,226.0,NO
Surajpur,Chhattisgarh,Subarnapur,77.8,392.0,NO
Tirupattur,Tamil Nadu,Tiruppur,77.8,633.0,NO
Berhampur,Odisha,Balrampur,77.8,182.0,NO
Deogarh,Odisha,Debagarh,80.0,373.0,NO
Sonepur,Odisha,Sonitpur,80.0,306.0,NO
Dinajpur,West Bengal,Dimapur,80.0,265.0,NO
Rampurhat,West Bengal,Rampur,80.0,136.0,NO
Vijapura,Karnataka,Bijapur,80.0,557.0,NO
Rae-Bareilly,Uttar Pradesh,Bareilly,80.0,150.0,NO
Shopian,Jammu and Kashmir,Shupiyan,80.0,13.0,NO
Manipur,Manipur,Mainpuri,80.0,148.0,NO
Bangalore urban,Karnataka,Bangalore Rural,80.0,583.0,NO
Mehsana,Gujarat,Mahesana,80.0,471.0,NO
Bangalore Urban,Karnataka,Bangalore Rural,80.0,583.0,NO
Saran,Bihar,Baran,80.0,128.0,NO
Dholpur,Rajasthan,Dhaulpur,80.0,106.0,NO
Narsinghpur,Madhya Pradesh,Narsimhapur,81.8,452.0,NO
South Tripura,Tripura,South Tripura,81.8,290.0,NO
North Tripura,Tripura,North Tripura,81.8,292.0,NO
Roopnagar,Punjab,Rupnagar,82.4,51.0,NO
Shivamogga,Karnataka,Shimoga,82.4,568.0,NO
Ferozepur,Punjab,Firozpur,82.4,43.0,NO
Sibsagar,Assam,Sivasagar,82.4,311.0,NO
Balurghat,West Bengal,Balaghat,82.4,457.0,NO
East Siang,Arunachal Pradesh,East Siang,82.4,251.0,NO
Keonjhar,Odisha,Kendujhar,82.4,375.0,NO
West Siang,Arunachal Pradesh,West Siang,82.4,250.0,NO
Chapra,West Bengal,Chatra,83.3,347.0,NO
Mahaboobnagar,Telangana,Mahbubnagar,83.3,538.0,NO
Budgam,Jammu and Kashmir,Badgam,83.3,2.0,NO
Purnea,Bihar,Purnia,83.3,211.0,NO
Badaun,Uttar Pradesh,Budaun,83.3,149.0,NO
Sri Ganganagar,Rajasthan,Ganganagar,83.3,99.0,NO
Bhabua,Bihar,Jhabua,83.3,464.0,NO
North and Middle Andaman,Andaman and Nicobar Islands,North & Middle Andaman,84.2,639.0,NO
East Kameng,Arunachal Pradesh,East Kameng,84.2,247.0,NO
West Kameng,Arunachal Pradesh,West Kameng,84.2,246.0,NO
Darjeeling,West Bengal,Darjiling,84.2,327.0,NO
Ashok nagar,Madhya Pradesh,Ashoknagar,85.7,459.0,NO
Ashok Nagar,Madhya Pradesh,Ashoknagar,85.7,459.0,NO
South Garo Hills,Meghalaya,South Garo Hills,85.7,295.0,NO
Ranga Reddy,Andhra Pradesh,Rangareddy,85.7,537.0,NO
Gadchiroli,Maharashtra,Garhchiroli,85.7,508.0,NO
Tumakuru,Karnataka,Tumkur,85.7,571.0,NO
Cooch Bihar,West Bengal,Koch Bihar,85.7,329.0,NO
West Tripura,Tripura,West Tripura,85.7,289.0,NO
Nellore,Andhra Pradesh,Vellore,85.7,605.0,NO
South 24 Parganas,West Bengal,South 24 Parganas,86.7,343.0,NO
24 North Parganas,West Bengal,North 24 Parganas,86.7,337.0,NO
South 24 parganas,West Bengal,South 24 Parganas,86.7,343.0,NO
North 24 Parganas,West Bengal,North 24 Parganas,86.7,337.0,NO
West Godavari,Andhra Pradesh,West Godavari,87.0,546.0,NO
Chittorgarh,Rajasthan,Chittaurgarh,87.0,126.0,NO
East Godavari,Andhra Pradesh,East Godavari,87.0,545.0,NO
Banaskantha,Gujarat,Banas Kantha,87.0,469.0,NO
Gandhi Nagar,Gujarat,Gandhinagar,87.0,473.0,NO
Morigaon,Assam,Marigaon,87.5,304.0,NO
Junagarh,Gujarat,Junagadh,87.5,479.0,NO
Bolangir,Odisha,Balangir,87.5,393.0,NO
Loharda,Jharkhand,Lohardaga,87.5,356.0,NO
North Delhi,Delhi,New Delhi,87.5,94.0,NO
Lahaul & Spiti,Himachal Pradesh,Lahul & Spiti,88.0,25.0,NO
Chikkamagaluru,Karnataka,Chikmagalur,88.0,570.0,NO
Chikballapur,Karnataka,Chikkaballapura,88.9,582.0,NO
West Garo Hills,Meghalaya,West Garo Hills,88.9,293.0,NO
Bandipora,Jammu and Kashmir,Bandipore,88.9,9.0,NO
Ahmedabad,Gujarat,Ahmadabad,88.9,474.0,NO
East Garo Hills,Meghalaya,East Garo Hills,88.9,294.0,NO
Pauri,Uttarakhand,Puri,88.9,387.0,NO
Mangalore,Karnataka,Bangalore,88.9,572.0,NO
Shravasti,Uttar Pradesh,Shrawasti,88.9,181.0,NO
Sahebganj,Jharkhand,Sahibganj,88.9,352.0,NO
West Khasi Hills,Meghalaya,West Khasi Hills,89.7,296.0,NO
East Khasi Hills,Meghalaya,East Khasi Hills,89.7,298.0,NO
Ahmednagar,Maharashtra,Ahmadnagar,90.0,522.0,NO
Sangareddy,Telangana,Rangareddy,90.0,537.0,NO
Davangere.,Karnataka,Davanagere,90.0,567.0,NO
Villupuram,Tamil Nadu,Viluppuram,90.0,607.0,NO
Mallapuram,Kerala,Malappuram,90.0,592.0,NO
Sundergarh,Odisha,Sundargarh,90.0,374.0,NO
Angul,Odisha,Anugul,90.9,384.0,NO
Malda,West Bengal,Maldah,90.9,332.0,NO
Nasik,Maharashtra,Nashik,90.9,516.0,NO
Jalore,Rajasthan,Jalor,90.9,116.0,NO
Thiruvalluvar,Tamil Nadu,Thiruvallur,91.7,602.0,NO
Kanyakumari,Tamil Nadu,Kanniyakumari,91.7,629.0,NO
Gondia,Maharashtra,Gondiya,92.3,507.0,NO
Chamarajanagar,Karnataka,Chamrajnagar,92.3,578.0,NO
Kanpur (Dehat),Uttar Pradesh,Kanpur Dehat,92.3,163.0,NO
Yadgiri,Karnataka,Yadgir,92.3,580.0,NO
Jajpur,Odisha,Jajapur,92.3,382.0,NO
Karbi - Anglong,Assam,Karbi Anglong,92.9,314.0,NO
West Jaintia Hills,Meghalaya,Jaintia Hills,92.9,299.0,NO
East Jaintia Hills,Meghalaya,Jaintia Hills,92.9,299.0,NO
Banwara,Rajasthan,Banswara,93.3,125.0,NO
Purulia,West Bengal,Puruliya,93.3,340.0,NO
Haridwar,Uttarakhand,Hardwar,93.3,68.0,NO
Buldhana,Maharashtra,Buldana,93.3,500.0,NO
Chittor,Andhra Pradesh,Chittoor,93.3,554.0,NO
Sholapur,Maharashtra,Solapur,93.3,526.0,NO
Baramulla,Jammu and Kashmir,Baramula,94.1,8.0,NO
Baleswar,Odisha,Baleshwar,94.1,377.0,NO
Bardhaman,West Bengal,Barddhaman,94.7,335.0,NO
Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra & Nagar Haveli,94.7,496.0,NO
Jhunjhunu,Rajasthan,Jhunjhunun,94.7,103.0,NO
Davangere,Karnataka,Davanagere,94.7,567.0,NO
Tiruvarur,Tamil Nadu,Thiruvarur,94.7,619.0,NO
Ramanagar,Karnataka,Ramanagara,94.7,584.0,NO
Pudukottai,Tamil Nadu,Pudukkottai,95.2,621.0,NO
Chhattarpur,Madhya Pradesh,Chhatarpur,95.2,425.0,NO
Tiruvallur,Tamil Nadu,Thiruvallur,95.2,602.0,NO
Bulandshahar,Uttar Pradesh,Bulandshahr,95.7,142.0,NO
Thoothukudi,Tamil Nadu,Thoothukkudi,95.7,627.0,NO
Nabarangpur,Odisha,Nabarangapur,95.7,397.0,NO
Virudhunagar,Tamil Nadu,Virudunagar,95.7,625.0,NO
Mahabubnagar,Telangana,Mahbubnagar,95.7,538.0,NO
Nagapattinam,Tamil Nadu,Nagappattinam,96.0,618.0,NO
Chamarajnagar,Karnataka,Chamrajnagar,96.0,578.0,NO
Jagatsinghpur,Odisha,Jagatsinghapur,96.3,380.0,NO
Thiruvannamalai,Tamil Nadu,Tiruvannamalai,96.6,606.0,NO
Tiruchirapalli,Tamil Nadu,Tiruchirappalli,96.6,614.0,NO
Chikkaballapur,Karnataka,Chikkaballapura,96.6,582.0,NO
Dakshin Kannada,Karnataka,Dakshina Kannada,96.8,575.0,NO
Paschim Medinipur,West Bengal,Pashchim Medinipur,97.1,344.0,NO
Yamunanagar,Haryana,Yamunanagar,100.0,71.0,NO
Gajapati,Odisha,Gajapati,100.0,389.0,NO
Lower Subansiri,Arunachal Pradesh,Lower Subansiri,100.0,255.0,NO
Shimla,Himachal Pradesh,Shimla,100.0,33.0,NO
Banda,Uttar Pradesh,Banda,100.0,170.0,NO
Ashoknagar,Madhya Pradesh,Ashoknagar,100.0,459.0,NO
Faridabad,Haryana,Faridabad,100.0,88.0,NO
Maharajganj,Uttar Pradesh,Maharajganj,100.0,187.0,NO
Balrampur,Uttar Pradesh,Balrampur,100.0,182.0,NO
Bageshwar,Uttarakhand,Bageshwar,100.0,63.0,NO
Kolkata,West Bengal,Kolkata,100.0,342.0,NO
Allahabad,Uttar Pradesh,Allahabad,100.0,175.0,NO
Hassan,Karnataka,Hassan,100.0,574.0,NO
Krishna,Andhra Pradesh,Krishna,100.0,547.0,NO
Thiruvananthapuram,Kerala,Thiruvananthapuram,100.0,601.0,NO
Mandsaur,Madhya Pradesh,Mandsaur,100.0,433.0,NO
Vellore,Tamil Nadu,Vellore,100.0,605.0,NO
Hyderabad,Telangana,Hyderabad,100.0,536.0,NO
Palakkad,Kerala,Palakkad,100.0,593.0,NO
Panipat,Haryana,Panipat,100.0,75.0,NO
Kollam,Kerala,Kollam,100.0,600.0,NO
Kandhamal,Odisha,Kandhamal,100.0,390.0,NO
Thrissur,Kerala,Thrissur,100.0,594.0,NO
thiruvananthapuram,Kerala,Thiruvananthapuram,100.0,601.0,NO
Davanagere,Karnataka,Davanagere,100.0,567.0,NO
Ganjam,Odisha,Ganjam,100.0,388.0,NO
Pudukkottai,Tamil Nadu,Pudukkottai,100.0,621.0,NO
Dakshina Kannada,Karnataka,Dakshina Kannada,100.0,575.0,NO
Gandhinagar,Gujarat,Gandhinagar,100.0,473.0,NO
Anand,Gujarat,Anand,100.0,482.0,NO
Nalgonda,Telangana,Nalgonda,100.0,539.0,NO
Ariyalur,Tamil Nadu,Ariyalur,100.0,616.0,NO
Haveri,Karnataka,Haveri,100.0,564.0,NO
Akola,Maharashtra,Akola,100.0,501.0,NO
Kheda,Gujarat,Kheda,100.0,483.0,NO
The Nilgiris,Tamil Nadu,The Nilgiris,100.0,611.0,NO
Cachar,Assam,Cachar,100.0,316.0,NO
Chittoor,Andhra Pradesh,Chittoor,100.0,554.0,NO
Bhind,Madhya Pradesh,Bhind,100.0,420.0,NO
Dumka,Jharkhand,Dumka,100.0,362.0,NO
Shimoga,Karnataka,Shimoga,100.0,568.0,NO
Idukki,Kerala,Idukki,100.0,596.0,NO
Sangli,Maharashtra,Sangli,100.0,531.0,NO
Guntur,Andhra Pradesh,Guntur,100.0,548.0,NO
Koppal,Karnataka,Koppal,100.0,560.0,NO
Mahasamund,Chhattisgarh,Mahasamund,100.0,411.0,NO
Doda,Jammu and Kashmir,Doda,100.0,16.0,NO
Bankura,West Bengal,Bankura,100.0,339.0,NO
Nadia,West Bengal,Nadia,100.0,336.0,NO
Balangir,Odisha,Balangir,100.0,393.0,NO
Jabalpur,Madhya Pradesh,Jabalpur,100.0,451.0,NO
Mahe,Puducherry,Mahe,100.0,636.0,NO
Gonda,Uttar Pradesh,Gonda,100.0,183.0,NO
Theni,Tamil Nadu,Theni,100.0,624.0,NO
Marigaon,Assam,Marigaon,100.0,304.0,NO
Imphal East,Manipur,Imphal East,100.0,278.0,NO
Jhalawar,Rajasthan,Jhalawar,100.0,129.0,NO
Munger,Bihar,Munger,100.0,226.0,NO
Aligarh,Uttar Pradesh,Aligarh,100.0,143.0,NO
Tinsukia,Assam,Tinsukia,100.0,309.0,NO
Pali,Rajasthan,Pali,100.0,118.0,NO
