raw_district,raw_state,canonical_district,match_score,censuscode,needs_review
Jehanabad,Bihar,Jehanabad,100.0,239.0,NO
Pratapgarh,Rajasthan,Pratapgarh,100.0,131.0,NO
Raisen,Madhya Pradesh,Raisen,100.0,446.0,NO
Gurdaspur,Punjab,Gurdaspur,100.0,35.0,NO
Baran,Rajasthan,Baran,100.0,128.0,NO
Bangalore Rural,Karnataka,Bangalore Rural,100.0,583.0,NO
Datia,Madhya Pradesh,Datia,100.0,422.0,NO
Muktsar,Punjab,Muktsar,100.0,44.0,NO
Raipur,Chhattisgarh,Raipur,100.0,410.0,NO
Vizianagaram,Andhra Pradesh,Vizianagaram,100.0,543.0,NO
Khunti,Jharkhand,Khunti,100.0,365.0,NO
Almora,Uttarakhand,Almora,100.0,64.0,NO
Durg,Chhattisgarh,Durg,100.0,409.0,NO
Bishnupur,West Bengal,Bishnupur,100.0,275.0,NO
Chitradurga,Karnataka,Chitradurga,100.0,566.0,NO
Dhubri,Assam,Dhubri,100.0,301.0,NO
Rajkot,Gujarat,Rajkot,100.0,476.0,NO
Karur,Tamil Nadu,Karur,100.0,613.0,NO
Erode,Tamil Nadu,Erode,100.0,610.0,NO
Rajnandgaon,Chhattisgarh,Rajnandgaon,100.0,408.0,NO
Hoshiarpur,Punjab,Hoshiarpur,100.0,38.0,NO
Ambala,Haryana,Ambala,100.0,70.0,NO
Raigarh,Chhattisgarh,Raigarh,100.0,403.0,NO
Jaipur,Rajasthan,Jaipur,100.0,110.0,NO
Jaintia Hills,Meghalaya,Jaintia Hills,100.0,299.0,NO
Ratnagiri,Maharashtra,Ratnagiri,100.0,528.0,NO
Rohtas,Bihar,Rohtas,100.0,234.0,NO
Serchhip,Mizoram,Serchhip,100.0,285.0,NO
Parbhani,Maharashtra,Parbhani,100.0,513.0,NO
Siwan,Bihar,Siwan,100.0,218.0,NO
Bastar,Chhattisgarh,Bastar,100.0,414.0,NO
Jorhat,Assam,Jorhat,100.0,312.0,NO
Kushinagar,Uttar Pradesh,Kushinagar,100.0,189.0,NO
Nainital,Uttarakhand,Nainital,100.0,66.0,NO
Satna,Madhya Pradesh,Satna,100.0,429.0,NO
Jalna,Maharashtra,Jalna,100.0,514.0,NO
Sant Kabir Nagar,Uttar Pradesh,Sant Kabir Nagar,100.0,186.0,NO
Budaun,Uttar Pradesh,Budaun,100.0,149.0,NO
Papum Pare,Arunachal Pradesh,Papum Pare,100.0,248.0,NO
Upper Subansiri,Arunachal Pradesh,Upper Subansiri,100.0,249.0,NO
Deoghar,Jharkhand,Deoghar,100.0,350.0,NO
Purba Medinipur,West Bengal,Purba Medinipur,100.0,345.0,NO
Muzaffarpur,Bihar,Muzaffarpur,100.0,216.0,NO
Sitapur,Uttar Pradesh,Sitapur,100.0,154.0,NO
Udhampur,Jammu and Kashmir,Udhampur,100.0,19.0,NO
Tehri Garhwal,Uttarakhand,Tehri Garhwal,100.0,59.0,NO
Murshidabad,West Bengal,Murshidabad,100.0,333.0,NO
Fatehgarh Sahib,Punjab,Fatehgarh Sahib,100.0,40.0,NO
Rudraprayag,Uttarakhand,Rudraprayag,100.0,58.0,NO
Nalanda,Bihar,Nalanda,100.0,229.0,NO
Sheikhpura,Bihar,Sheikhpura,100.0,228.0,NO
Kupwara,Jammu and Kashmir,Kupwara,100.0,1.0,NO
Srinagar,Jammu and Kashmir,Srinagar,100.0,10.0,NO
mon,Nagaland,Mon,100.0,261.0,NO
Chikkaballapura,Karnataka,Chikkaballapura,100.0,582.0,NO
Kokrajhar,Assam,Kokrajhar,100.0,300.0,NO
Seoni,Madhya Pradesh,Seoni,100.0,456.0,NO
Washim,Maharashtra,Washim,100.0,502.0,NO
Kangra,Himachal Pradesh,Kangra,100.0,24.0,NO
Tirunelveli,Tamil Nadu,Tirunelveli,100.0,628.0,NO
Adilabad,Telangana,Adilabad,100.0,532.0,NO
Buxar,Bihar,Buxar,100.0,232.0,NO
Thiruvarur,Tamil Nadu,Thiruvarur,100.0,619.0,NO
Ramanagara,Karnataka,Ramanagara,100.0,584.0,NO
Chikmagalur,Karnataka,Chikmagalur,100.0,570.0,NO
Mahoba,Uttar Pradesh,Mahoba,100.0,169.0,NO
Jamnagar,Gujarat,Jamnagar,100.0,477.0,NO
Pathanamthitta,Kerala,Pathanamthitta,100.0,599.0,NO
Tiruvannamalai,Tamil Nadu,Tiruvannamalai,100.0,606.0,NO
Arwal,Bihar,Arwal,100.0,240.0,NO
Chirang,Assam,Chirang,100.0,320.0,NO
Araria,Bihar,Araria,100.0,209.0,NO
Alwar,Rajasthan,Alwar,100.0,104.0,NO
Cuddalore,Tamil Nadu,Cuddalore,100.0,617.0,NO
Deoria,Uttar Pradesh,Deoria,100.0,190.0,NO
Kohima,Nagaland,Kohima,100.0,270.0,NO
Saharsa,Bihar,Saharsa,100.0,214.0,NO
Jharsuguda,Odisha,Jharsuguda,100.0,371.0,NO
Giridih,Jharkhand,Giridih,100.0,349.0,NO
Bhagalpur,Bihar,Bhagalpur,100.0,224.0,NO
Lalitpur,Uttar Pradesh,Lalitpur,100.0,167.0,NO
Karimganj,Assam,Karimganj,100.0,317.0,NO
Bokaro,Jharkhand,Bokaro,100.0,355.0,NO
Bhadrak,Odisha,Bhadrak,100.0,378.0,NO
Kullu,Himachal Pradesh,Kullu,100.0,26.0,NO
Chandel,Manipur,Chandel,100.0,280.0,NO
Mansa,Punjab,Mansa,100.0,47.0,NO
Banswara,Rajasthan,Banswara,100.0,125.0,NO
Patna,Bihar,Patna,100.0,230.0,NO
Nalbari,Assam,Nalbari,100.0,323.0,NO
Sirohi,Rajasthan,Sirohi,100.0,117.0,NO
Narmada,Gujarat,Narmada,100.0,487.0,NO
Hingoli,Maharashtra,Hingoli,100.0,512.0,NO
Yavatmal,Maharashtra,Yavatmal,100.0,510.0,NO
Bijapur,Karnataka,Bijapur,100.0,557.0,NO
Rajgarh,Madhya Pradesh,Rajgarh,100.0,442.0,NO
Gadag,Karnataka,Gadag,100.0,561.0,NO
Nizamabad,Telangana,Nizamabad,100.0,533.0,NO
Dibang Valley,Arunachal Pradesh,Dibang Valley,100.0,257.0,NO
Bharuch,Gujarat,Bharuch,100.0,488.0,NO
Bangalore,Karnataka,Bangalore,100.0,572.0,NO
Surendranagar,Gujarat,Surendranagar,100.0,475.0,NO
Tiruppur,Tamil Nadu,Tiruppur,100.0,633.0,NO
Medak,Telangana,Medak,100.0,535.0,NO
Jalandhar,Punjab,Jalandhar,100.0,37.0,NO
Dhamtari,Chhattisgarh,Dhamtari,100.0,412.0,NO
Mahesana,Gujarat,Mahesana,100.0,471.0,NO
Visakhapatnam,Andhra Pradesh,Visakhapatnam,100.0,544.0,NO
Moga,Punjab,Moga,100.0,42.0,NO
Nanded,Maharashtra,Nanded,100.0,511.0,NO
Sonbhadra,Uttar Pradesh,Sonbhadra,100.0,200.0,NO
Rayagada,Odisha,Rayagada,100.0,396.0,NO
Kamrup,Assam,Kamrup,100.0,321.0,NO
Uttara Kannada,Karnataka,Uttara Kannada,100.0,563.0,NO
Agra,Uttar Pradesh,Agra,100.0,146.0,NO
Sundargarh,Odisha,Sundargarh,100.0,374.0,NO
Dindigul,Tamil Nadu,Dindigul,100.0,612.0,NO
Ramanathapuram,Tamil Nadu,Ramanathapuram,100.0,626.0,NO
Dhanbad,Jharkhand,Dhanbad,100.0,354.0,NO
Ballia,Uttar Pradesh,Ballia,100.0,193.0,NO
Bargarh,Odisha,Bargarh,100.0,370.0,NO
Sivaganga,Tamil Nadu,Sivaganga,100.0,622.0,NO
Ghazipur,Uttar Pradesh,Ghazipur,100.0,195.0,NO
Kaithal,Haryana,Kaithal,100.0,73.0,NO
Madurai,Tamil Nadu,Madurai,100.0,623.0,NO
Chandauli,Uttar Pradesh,Chandauli,100.0,196.0,NO
Muzaffarnagar,Uttar Pradesh,Muzaffarnagar,100.0,133.0,NO
Garhwa,Jharkhand,Garhwa,100.0,346.0,NO
Umaria,Madhya Pradesh,Umaria,100.0,431.0,NO
Chhatarpur,Madhya Pradesh,Chhatarpur,100.0,425.0,NO
Dungarpur,Rajasthan,Dungarpur,100.0,124.0,NO
Aurangabad,Bihar,Aurangabad,100.0,235.0,NO
Shivpuri,Madhya Pradesh,Shivpuri,100.0,423.0,NO
Shahdol,Madhya Pradesh,Shahdol,100.0,460.0,NO
Sikar,Rajasthan,Sikar,100.0,111.0,NO
Sehore,Madhya Pradesh,Sehore,100.0,445.0,NO
Tikamgarh,Madhya Pradesh,Tikamgarh,100.0,424.0,NO
Dimapur,Nagaland,Dimapur,100.0,265.0,NO
Porbandar,Gujarat,Porbandar,100.0,478.0,NO
Karimnagar,Telangana,Karimnagar,100.0,534.0,NO
Khammam,Telangana,Khammam,100.0,541.0,NO
Singrauli,Madhya Pradesh,Singrauli,100.0,463.0,NO
Chatra,Jharkhand,Chatra,100.0,347.0,NO
Ludhiana,Punjab,Ludhiana,100.0,41.0,NO
Panna,Madhya Pradesh,Panna,100.0,426.0,NO
Mandla,Madhya Pradesh,Mandla,100.0,454.0,NO
Bhavnagar,Gujarat,Bhavnagar,100.0,481.0,NO
Jind,Haryana,Jind,100.0,77.0,NO
Fatehabad,Haryana,Fatehabad,100.0,78.0,NO
Hailakandi,Assam,Hailakandi,100.0,318.0,NO
Vaishali,Bihar,Vaishali,100.0,220.0,NO
Jamtara,Jharkhand,Jamtara,100.0,363.0,NO
Kulgam,Jammu and Kashmir,Kulgam,100.0,15.0,NO
Jamui,Bihar,Jamui,100.0,238.0,NO
Purnia,Bihar,Purnia,100.0,211.0,NO
Jaunpur,Uttar Pradesh,Jaunpur,100.0,194.0,NO
Rangareddy,Telangana,Rangareddy,100.0,537.0,NO
Golaghat,Assam,Golaghat,100.0,313.0,NO
Guna,Madhya Pradesh,Guna,100.0,458.0,NO
Ganganagar,Rajasthan,Ganganagar,100.0,99.0,NO
Srikakulam,Andhra Pradesh,Srikakulam,100.0,542.0,NO
Damoh,Madhya Pradesh,Damoh,100.0,428.0,NO
Simdega,Jharkhand,Simdega,100.0,367.0,NO
Ganderbal,Jammu and Kashmir,Ganderbal,100.0,11.0,NO
Nawada,Bihar,Nawada,100.0,237.0,NO
Darrang,Assam,Darrang,100.0,325.0,NO
Hoshangabad,Madhya Pradesh,Hoshangabad,100.0,449.0,NO
Mokokchung,Nagaland,Mokokchung,100.0,262.0,NO
Korba,Chhattisgarh,Korba,100.0,404.0,NO
Anantnag,Jammu and Kashmir,Anantnag,100.0,14.0,NO
Barpeta,Assam,Barpeta,100.0,303.0,NO
Madhubani,Bihar,Madhubani,100.0,207.0,NO
Bareilly,Uttar Pradesh,Bareilly,100.0,150.0,NO
Auraiya,Uttar Pradesh,Auraiya,100.0,162.0,NO
Azamgarh,Uttar Pradesh,Azamgarh,100.0,191.0,NO
Ghaziabad,Uttar Pradesh,Ghaziabad,100.0,140.0,NO
Hardoi,Uttar Pradesh,Hardoi,100.0,155.0,NO
Jhansi,Uttar Pradesh,Jhansi,100.0,166.0,NO
Jalaun,Uttar Pradesh,Jalaun,100.0,165.0,NO
Firozabad,Uttar Pradesh,Firozabad,100.0,147.0,NO
Kannauj,Uttar Pradesh,Kannauj,100.0,160.0,NO
Saharanpur,Uttar Pradesh,Saharanpur,100.0,132.0,NO
Dehradun,Uttarakhand,Dehradun,100.0,60.0,NO
Champawat,Uttarakhand,Champawat,100.0,65.0,NO
Mainpuri,Uttar Pradesh,Mainpuri,100.0,148.0,NO
Valsad,Gujarat,Valsad,100.0,491.0,NO
Nagaon,Assam,Nagaon,100.0,305.0,NO
Salem,Tamil Nadu,Salem,100.0,608.0,NO
Mathura,Uttar Pradesh,Mathura,100.0,145.0,NO
Kurukshetra,Haryana,Kurukshetra,100.0,72.0,NO
Chandigarh,Chandigarh,Chandigarh,100.0,55.0,NO
Vadodara,Gujarat,Vadodara,100.0,486.0,NO
Karnal,Haryana,Karnal,100.0,74.0,NO
Wardha,Maharashtra,Wardha,100.0,504.0,NO
Dima Hasao,Assam,Dima Hasao,100.0,315.0,NO
Lucknow,Uttar Pradesh,Lucknow,100.0,157.0,NO
Burhanpur,Madhya Pradesh,Burhanpur,100.0,467.0,NO
Kiphire,Nagaland,Kiphire,100.0,269.0,NO
Varanasi,Uttar Pradesh,Varanasi,100.0,197.0,NO
Warangal,Telangana,Warangal,100.0,540.0,NO
Churachandpur,Manipur,Churachandpur,100.0,274.0,NO
Barnala,Punjab,Barnala,100.0,54.0,NO
Udaipur,Rajasthan,Udaipur,100.0,130.0,NO
Churu,Rajasthan,Churu,100.0,102.0,NO
Bilaspur,Chhattisgarh,Bilaspur,100.0,406.0,NO
Mau,Uttar Pradesh,Mau,100.0,192.0,NO
Katni,Madhya Pradesh,Katni,100.0,450.0,NO
Dhule,Maharashtra,Dhule,100.0,498.0,NO
Rupnagar,Punjab,Rupnagar,100.0,51.0,NO
Ujjain,Madhya Pradesh,Ujjain,100.0,435.0,NO
Krishnagiri,Tamil Nadu,Krishnagiri,100.0,631.0,NO
Dhalai,Tripura,Dhalai,100.0,291.0,NO
Bathinda,Punjab,Bathinda,100.0,46.0,NO
Namakkal,Tamil Nadu,Namakkal,100.0,609.0,NO
Gautam Buddha Nagar,Uttar Pradesh,Gautam Buddha Nagar,100.0,141.0,NO
Pakur,Jharkhand,Pakur,100.0,353.0,NO
Ajmer,Rajasthan,Ajmer,100.0,119.0,NO
Barmer,Rajasthan,Barmer,100.0,115.0,NO
Bharatpur,Rajasthan,Bharatpur,100.0,105.0,NO
Uttar Dinajpur,West Bengal,Uttar Dinajpur,100.0,330.0,NO
Samastipur,Bihar,Samastipur,100.0,221.0,NO
Nagaur,Rajasthan,Nagaur,100.0,112.0,NO
Thoubal,Manipur,Thoubal,100.0,276.0,NO
Belgaum,Karnataka,Belgaum,100.0,555.0,NO
Mysore,Karnataka,Mysore,100.0,577.0,NO
Thiruvallur,Tamil Nadu,Thiruvallur,100.0,602.0,NO
Imphal West,Manipur,Imphal West,100.0,277.0,NO
Leh (Ladakh),Jammu and Kashmir,Leh (Ladakh),100.0,3.0,NO
Darbhanga,Bihar,Darbhanga,100.0,215.0,NO
Lower Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,100.0,258.0,NO
Latehar,Jharkhand,Latehar,100.0,359.0,NO
Gurgaon,Haryana,Gurgaon,100.0,86.0,NO
Sidhi,Madhya Pradesh,Sidhi,100.0,462.0,NO
Kota,Rajasthan,Kota,100.0,127.0,NO
Dakshin Dinajpur,West Bengal,Dakshin Dinajpur,100.0,331.0,NO
Pulwama,Jammu and Kashmir,Pulwama,100.0,12.0,NO
Lohardaga,Jharkhand,Lohardaga,100.0,356.0,NO
Kendrapara,Odisha,Kendrapara,100.0,379.0,NO
Reasi,Jammu and Kashmir,Reasi,100.0,20.0,NO
Ramban,Jammu and Kashmir,Ramban,100.0,17.0,NO
Kancheepuram,Tamil Nadu,Kancheepuram,100.0,604.0,NO
Jhabua,Madhya Pradesh,Jhabua,100.0,464.0,NO
Alirajpur,Madhya Pradesh,Alirajpur,100.0,465.0,NO
Vidisha,Madhya Pradesh,Vidisha,100.0,443.0,NO
Etawah,Uttar Pradesh,Etawah,100.0,161.0,NO
Surguja,Chhattisgarh,Surguja,100.0,401.0,NO
Shajapur,Madhya Pradesh,Shajapur,100.0,436.0,NO
Katihar,Bihar,Katihar,100.0,212.0,NO
Hanumangarh,Rajasthan,Hanumangarh,100.0,100.0,NO
Tonk,Rajasthan,Tonk,100.0,120.0,NO
Sagar,Madhya Pradesh,Sagar,100.0,427.0,NO
Dausa,Rajasthan,Dausa,100.0,109.0,NO
Sivasagar,Assam,Sivasagar,100.0,311.0,NO
Jodhpur,Rajasthan,Jodhpur,100.0,113.0,NO
Betul,Madhya Pradesh,Betul,100.0,447.0,NO
Solapur,Maharashtra,Solapur,100.0,526.0,NO
Cuttack,Odisha,Cuttack,100.0,381.0,NO
Gaya,Bihar,Gaya,100.0,236.0,NO
Unnao,Uttar Pradesh,Unnao,100.0,156.0,NO
Indore,Madhya Pradesh,Indore,100.0,439.0,NO
Amritsar,Punjab,Amritsar,100.0,49.0,NO
Panchkula,Haryana,Panchkula,100.0,69.0,NO
Mandi,Himachal Pradesh,Mandi,100.0,27.0,NO
Godda,Jharkhand,Godda,100.0,351.0,NO
Sangrur,Punjab,Sangrur,100.0,53.0,NO
Lakhimpur,Assam,Lakhimpur,100.0,307.0,NO
Kolhapur,Maharashtra,Kolhapur,100.0,530.0,NO
Barwani,Madhya Pradesh,Barwani,100.0,441.0,NO
Aurangabad,Maharashtra,Aurangabad,100.0,515.0,NO
Dhemaji,Assam,Dhemaji,100.0,308.0,NO
Amravati,Maharashtra,Amravati,100.0,503.0,NO
Lohit,Arunachal Pradesh,Lohit,100.0,259.0,NO
Bhandara,Maharashtra,Bhandara,100.0,506.0,NO
Birbhum,West Bengal,Birbhum,100.0,334.0,NO
Osmanabad,Maharashtra,Osmanabad,100.0,525.0,NO
Nandurbar,Maharashtra,Nandurbar,100.0,497.0,NO
Farrukhabad,Uttar Pradesh,Farrukhabad,100.0,159.0,NO
Nayagarh,Odisha,Nayagarh,100.0,385.0,NO
Shahid Bhagat Singh Nagar,Punjab,Shahid Bhagat Singh Nagar,100.0,39.0,NO
Kasaragod,Kerala,Kasaragod,100.0,588.0,NO
Nashik,Maharashtra,Nashik,100.0,516.0,NO
Kannur,Kerala,Kannur,100.0,589.0,NO
Malappuram,Kerala,Malappuram,100.0,592.0,NO
Surat,Gujarat,Surat,100.0,492.0,NO
Tirap,Arunachal Pradesh,Tirap,100.0,254.0,NO
Champhai,Mizoram,Champhai,100.0,284.0,NO
Malkangiri,Odisha,Malkangiri,100.0,399.0,NO
Rajouri,Jammu and Kashmir,Rajouri,100.0,6.0,NO
Tapi,Gujarat,Tapi,100.0,493.0,NO
Una,Himachal Pradesh,Una,100.0,29.0,NO
Amreli,Gujarat,Amreli,100.0,480.0,NO
Sirmaur,Himachal Pradesh,Sirmaur,100.0,32.0,NO
Lakshadweep,Lakshadweep,Lakshadweep,100.0,587.0,NO
Bara Banki,Uttar Pradesh,Bara Banki,100.0,176.0,NO
Kathua,Jammu and Kashmir,Kathua,100.0,7.0,NO
Aizawl,Mizoram,Aizawl,100.0,283.0,NO
Kolasib,Mizoram,Kolasib,100.0,282.0,NO
Neemuch,Madhya Pradesh,Neemuch,100.0,432.0,NO
Koriya,Chhattisgarh,Koriya,100.0,400.0,NO
Balaghat,Madhya Pradesh,Balaghat,100.0,457.0,NO
Perambalur,Tamil Nadu,Perambalur,100.0,615.0,NO
Puruliya,West Bengal,Puruliya,100.0,340.0,NO
Ri Bhoi,Meghalaya,Ri Bhoi,100.0,297.0,NO
Kalahandi,Odisha,Kalahandi,100.0,395.0,NO
Kottayam,Kerala,Kottayam,100.0,597.0,NO
Puri,Odisha,Puri,100.0,387.0,NO
Goalpara,Assam,Goalpara,100.0,302.0,NO
Dharwad,Karnataka,Dharwad,100.0,562.0,NO
Bidar,Karnataka,Bidar,100.0,558.0,NO
Kurnool,Andhra Pradesh,Kurnool,100.0,552.0,NO
Dhar,Madhya Pradesh,Dhar,100.0,438.0,NO
Anantapur,Andhra Pradesh,Anantapur,100.0,553.0,NO
Bilaspur,Himachal Pradesh,Bilaspur,100.0,30.0,NO
Thane,Maharashtra,Thane,100.0,517.0,NO
Kolar,Karnataka,Kolar,100.0,581.0,NO
Mandya,Karnataka,Mandya,100.0,573.0,NO
Rewa,Madhya Pradesh,Rewa,100.0,430.0,NO
Kaushambi,Uttar Pradesh,Kaushambi,100.0,174.0,NO
Puducherry,Puducherry,Puducherry,100.0,635.0,NO
Bagalkot,Karnataka,Bagalkot,100.0,556.0,NO
Tamenglong,Manipur,Tamenglong,100.0,273.0,NO
Chamrajnagar,Karnataka,Chamrajnagar,100.0,578.0,NO
Lakhisarai,Bihar,Lakhisarai,100.0,227.0,NO
Coimbatore,Tamil Nadu,Coimbatore,100.0,632.0,NO
Pithoragarh,Uttarakhand,Pithoragarh,100.0,62.0,NO
Bhojpur,Bihar,Bhojpur,100.0,231.0,NO
Sawai Madhopur,Rajasthan,Sawai Madhopur,100.0,108.0,NO
Changlang,Arunachal Pradesh,Changlang,100.0,253.0,NO
Khagaria,Bihar,Khagaria,100.0,223.0,NO
Banka,Bihar,Banka,100.0,225.0,NO
Harda,Madhya Pradesh,Harda,100.0,448.0,NO
Subarnapur,Odisha,Subarnapur,100.0,392.0,NO
Hamirpur,Himachal Pradesh,Hamirpur,100.0,28.0,NO
Mewat,Haryana,Mewat,100.0,87.0,NO
Mahbubnagar,Telangana,Mahbubnagar,100.0,538.0,NO
Dewas,Madhya Pradesh,Dewas,100.0,437.0,NO
New Delhi,Delhi,New Delhi,100.0,94.0,NO
Gopalganj,Bihar,Gopalganj,100.0,217.0,NO
Khordha,Odisha,Khordha,100.0,386.0,NO
Bhilwara,Rajasthan,Bhilwara,100.0,122.0,NO
Tiruchirappalli,Tamil Nadu,Tiruchirappalli,100.0,614.0,NO
Solan,Himachal Pradesh,Solan,100.0,31.0,NO
Dibrugarh,Assam,Dibrugarh,100.0,310.0,NO
Karbi Anglong,Assam,Karbi Anglong,100.0,314.0,NO
Sonitpur,Assam,Sonitpur,100.0,306.0,NO
Jashpur,Chhattisgarh,Jashpur,100.0,402.0,NO
Junagadh,Gujarat,Junagadh,100.0,479.0,NO
Bhopal,Madhya Pradesh,Bhopal,100.0,444.0,NO
Latur,Maharashtra,Latur,100.0,524.0,NO
Mayurbhanj,Odisha,Mayurbhanj,100.0,376.0,NO
Dharmapuri,Tamil Nadu,Dharmapuri,100.0,630.0,NO
Thanjavur,Tamil Nadu,Thanjavur,100.0,620.0,NO
Udham Singh Nagar,Uttarakhand,Udham Singh Nagar,100.0,67.0,NO
Siddharth Nagar,Uttar Pradesh,Siddharth Nagar,100.0,184.0,NO
Upper Siang,Arunachal Pradesh,Upper Siang,100.0,252.0,NO
Ranchi,Jharkhand,Ranchi,100.0,364.0,NO
Raichur,Karnataka,Raichur,100.0,559.0,NO
Gwalior,Madhya Pradesh,Gwalior,100.0,421.0,NO
Sheopur,Madhya Pradesh,Sheopur,100.0,418.0,NO
Nagpur,Maharashtra,Nagpur,100.0,505.0,NO
Satara,Maharashtra,Satara,100.0,527.0,NO
Chamoli,Uttarakhand,Chamoli,100.0,57.0,NO
RangaReddy,Telangana,Rangareddy,100.0,537.0,NO
Lunglei,Mizoram,Lunglei,100.0,286.0,NO
Badgam,Jammu and Kashmir,Badgam,100.0,2.0,NO
Kurung Kumey,Arunachal Pradesh,Kurung Kumey,100.0,256.0,NO
Chhindwara,Madhya Pradesh,Chhindwara,100.0,455.0,NO
Rajsamand,Rajasthan,Rajsamand,100.0,123.0,NO
Bundi,Rajasthan,Bundi,100.0,121.0,NO
Sirsa,Haryana,Sirsa,100.0,79.0,NO
Leh (ladakh),Jammu and Kashmir,Leh (Ladakh),100.0,3.0,NO
Gulbarga,Karnataka,Gulbarga,100.0,579.0,NO
Yadgir,Karnataka,Yadgir,100.0,580.0,NO
Uttarkashi,Uttarakhand,Uttarkashi,100.0,56.0,NO
Sambalpur,Odisha,Sambalpur,100.0,372.0,NO
Karauli,Rajasthan,Karauli,100.0,107.0,NO
Kodagu,Karnataka,Kodagu,100.0,576.0,NO
Nuapada,Odisha,Nuapada,100.0,394.0,NO
Gorakhpur,Uttar Pradesh,Gorakhpur,100.0,188.0,NO
Bongaigaon,Assam,Bongaigaon,100.0,319.0,NO
Pratapgarh,Uttar Pradesh,Pratapgarh,100.0,173.0,NO
Diu,Daman and Diu,Diu,100.0,494.0,NO
Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,100.0,164.0,NO
Dindori,Madhya Pradesh,Dindori,100.0,453.0,NO
Ahmadabad,Gujarat,Ahmadabad,100.0,474.0,NO
Rohtak,Haryana,Rohtak,100.0,82.0,NO
Palwal,Haryana,Palwal,100.0,89.0,NO
Viluppuram,Tamil Nadu,Viluppuram,100.0,607.0,NO
Narayanpur,Chhattisgarh,Narayanpur,100.0,415.0,NO
Gumla,Jharkhand,Gumla,100.0,366.0,NO
Dhenkanal,Odisha,Dhenkanal,100.0,383.0,NO
Karaikal,Puducherry,Karaikal,100.0,637.0,NO
Udupi,Karnataka,Udupi,100.0,569.0,NO
Patiala,Punjab,Patiala,100.0,48.0,NO
Baksa,Assam,Baksa,100.0,324.0,NO
Wayanad,Kerala,Wayanad,100.0,590.0,NO
Pune,Maharashtra,Pune,100.0,521.0,NO
Mirzapur,Uttar Pradesh,Mirzapur,100.0,199.0,NO
Ratlam,Madhya Pradesh,Ratlam,100.0,434.0,NO
Chandrapur,Maharashtra,Chandrapur,100.0,509.0,NO
Morena,Madhya Pradesh,Morena,100.0,419.0,NO
Jalgaon,Maharashtra,Jalgaon,100.0,499.0,NO
Bikaner,Rajasthan,Bikaner,100.0,101.0,NO
Jalpaiguri,West Bengal,Jalpaiguri,100.0,328.0,NO
Sindhudurg,Maharashtra,Sindhudurg,100.0,529.0,NO
Prakasam,Andhra Pradesh,Prakasam,100.0,549.0,NO
Udalguri,Assam,Udalguri,100.0,326.0,NO
Alappuzha,Kerala,Alappuzha,100.0,598.0,NO
Kapurthala,Punjab,Kapurthala,100.0,36.0,NO
Tumkur,Karnataka,Tumkur,100.0,571.0,NO
Kozhikode,Kerala,Kozhikode,100.0,591.0,NO
Jaisalmer,Rajasthan,Jaisalmer,100.0,114.0,NO
Navsari,Gujarat,Navsari,100.0,490.0,NO
Koraput,Odisha,Koraput,100.0,398.0,NO
Fatehpur,Uttar Pradesh,Fatehpur,100.0,172.0,NO
Jhajjar,Haryana,Jhajjar,100.0,83.0,NO
Palamu,Jharkhand,Palamu,100.0,358.0,NO
Chamba,Himachal Pradesh,Chamba,100.0,23.0,NO
Pilibhit,Uttar Pradesh,Pilibhit,100.0,151.0,NO
Shahjahanpur,Uttar Pradesh,Shahjahanpur,100.0,152.0,NO
Ambedkar Nagar,Uttar Pradesh,Ambedkar Nagar,100.0,178.0,NO
Ernakulam,Kerala,Ernakulam,100.0,595.0,NO
Patan,Gujarat,Patan,100.0,470.0,NO
